                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h
                       17        642.5003235522365      0.10552674164884435       0.9116901583957301      0.14132632895696703    0.0048916980179312475  -3.3734955581872084e-06        415.6420429816779  -1.3246413770041411e-05      0.10779425738296713     0.014812570982387134             2.464792362932844             -7441.83061778008           -3163.5850289205187            -2324.968549215908             96484.49495131214            28161483.055484597              44.1582053011626             342903.8393045923             531.7257818194886            12628.680186830381
                       18        642.5003235676975      0.10552674236233917       0.9116901575502183      0.14132632895461839     0.004891698008988742  -3.3734955651710573e-06        415.6420429216064  -1.3246412281834284e-05      0.10779425736667345     0.014812570971065878            2.4647923380086083            -7441.830580747521           -3163.5850555631614            -2324.968544374367             96484.49313911443            28161482.334710963             44.15820424898561            342903.83223532035             531.7257834513489             12628.68013808993
                       19        642.5003235523247      0.10552674165946802       0.9116901583903751      0.14132632895734878     0.004891698016650047  -3.3734955559777793e-06       415.64204298868066  -1.3246414621798444e-05      0.10779425738267781     0.014812570980699043            2.4647923634855817            -7441.830617376768            -3163.585029182398           -2324.9685491892856             96484.49489999034            28161483.102272667             44.15820530461627            342903.83901235374             531.7257817429526            12628.680187612255
                       20        643.2729536897891      0.14306637795225713       0.8692857609324212      0.14132263385818042     0.004090934739313249   -3.075432253484178e-06        414.7532739587085  -0.00018634900312704782      0.10692354514629997     0.013779790365688695            1.3787654609619058            -5692.161635515197            -4544.192966188291             -2117.37318588486           -44761.184218629416           -1155692.8663415157            -6.732334445976121            -92348.15499660002             647.3937279236785            11018.372383572478
                       21        643.2729536797528      0.14306637815781437        0.869285761108035        0.141322633905444     0.004090935515834314  -3.0555820671322916e-06       414.75327397549404  -0.00018634739787314492       0.1069235451328453     0.013779790172634277            1.3861609193773783            -5686.119291952985            -4544.324020590756           -2116.3707998226078            -43257.74503461377             46168.88444989835            -6.651297328168406            -91676.60270709691             644.8095617400546            11009.286829872806
                       22        643.2729536796205      0.14306637815924272       0.8692857611094409      0.14132263390579936     0.004090935496746848   -3.075434102386599e-06       414.75327397543214  -0.00018634739638247189      0.10692354513279001     0.013779790171248462            1.3787705980382505            -5692.158737780415            -4544.192937829753           -2117.3727086026647           -44760.793188710275           -1155692.9905151832           -6.7320986586010365            -92345.93014391421             647.3926252386303             11018.36689640632
                       23        643.2729536769075      0.14306637817325207       0.8692857611256307       0.1413226339096613     0.004090935243189167   -3.075491137971335e-06       414.75327394898585  -0.00018634908965591696      0.10692354513264155     0.013779790157985063             1.378743425725662            -5692.178991883906            -4544.192495373178           -2117.3760340065223            -44765.54909550832           -1159229.7177997902            -6.732573778436889            -92350.15242952436             647.4011895810892            11018.398188484207
                       24        643.2724685805009      0.14307624894466558        0.869294203251922      0.14132490482817997      0.00412702903989655   -3.149436155707316e-06        414.7540690356568  -0.00010988519598018314       0.1069229009344856     0.013770517643280359            1.6284740910460633            -5550.378717501658            -4543.072353857958            -2094.005221839276            -25258.08736221101            -311908.8410094915              4.54484643444667            13997.273231061588             593.1034759522021            10751.674436787847
                       25        643.2724685686837       0.1430762491572517       0.8692942034362335       0.1413249048751738      0.00412702904186305  -3.1494361551434084e-06        414.7540690316738  -0.00010988519672466227      0.10692290092217105     0.013770517431932968            1.6284740874711834            -5550.378672058418            -4543.072345525117            -2094.005211212485           -25258.086062489267            -311908.5358549824             4.544846419499682            13997.272900982982             593.1034667273423            10751.674441888279
                       26        643.2724685185268      0.14307624964431703       0.8692942042397716       0.1413249050304758    0.0041270290168820035   -3.149436173736647e-06       414.75406901608613   -0.0001098851935871295      0.10692290092350197     0.013770516351813563            1.6284740644472933             -5550.37854063629            -4543.072316916245           -2094.0051792478134           -25258.089351055933            -311910.8480217789             4.544846326860869             13997.27231231903              593.103443413356            10751.674641160262
