                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                     data                    Costf
                       19        637.3696799493736       0.2013910256036291       0.9751094288581009      0.16323147458567366    0.0031005875471889514        261.3414660340757        261.3414660340757
                       20         637.369678517302      0.20139103039855238       0.9751094344061292      0.16323147772459456      0.00310060699400223       261.34130766018677       261.34130766018677
                       21         637.369678385893      0.20139103059666655       0.9751094348854853      0.16323147799595253     0.003100587508353891        261.3414510091751        261.3414510091751
                       22        629.2654315492236       0.2272725834123802       1.0063522107792537      0.18090856145273235    0.0029271689254786017       220.41578340837756       220.41578340837756
                       23        629.2654300774971      0.22727258293992825       1.0063522111467709      0.18090856283931867    0.0029271689260717136       220.41578037902244       220.41578037902244
                       24        629.2654289935747      0.22727258360014407        1.006352209350129       0.1809085628746541     0.002927168924445577       220.41578012849405       220.41578012849405
                       25       402.97787941480203      0.19010383072102932       0.9901193997757778       0.3594158630042673     0.002945776055323177       10.140601373554428       10.140601373554428
                       26       402.97787869179984      0.19010383083195553        0.990119399929132        0.359415862900901     0.002945776057128507       10.140601108298036       10.140601108298036
                       27        402.9778791617639      0.19010383080392573       0.9901193998860286      0.35941586267289416     0.002945776053592305        10.14060130462539        10.14060130462539
                       28       363.51499015735897       0.1978542375193173       1.0006667768009332      0.34241568787182514     0.002953405125008307       3.4270109132868622       3.4270109132868622
                       29       363.51499002578146      0.19785423753239806       1.0006667767930082      0.34241568713655357     0.002953405125427451       3.4270108519305627       3.4270108519305627
                       30       363.51499012390343       0.1978542375416638         1.00066677681564       0.3424156878109915     0.002953405124925155       3.4270109115055774       3.4270109115055774
                       31       347.59077926121955      0.20022416703644072       1.0003993844784582      0.25864645776030964     0.002996283732365377       0.1359172064437392       0.1359172064437392
                       32       347.59077935876945      0.20022416703323956       1.0003993844637868       0.2586464581724238     0.002996283732438624        0.135917196380377        0.135917196380377
                       33        347.5907792571425      0.20022416703505394       1.0003993844790808      0.25864645775778955    0.0029962837324014275       0.1359172064092893       0.1359172064092893
                       34       349.86312055678206      0.20006372706670153       1.0000581590148172       0.2690766824141955     0.003000198726723625    0.0006948718394986131    0.0006948718394986131
                       35       349.86312024385154      0.20006372695235977        1.000058157205829       0.2690766857753134    0.0030002225460433836    0.0006946625183209388    0.0006946625183209388
                       36        349.8631202361638      0.20006372671962522       1.0000581571287066      0.26907668581926447    0.0030001987278866805    0.0006948655091016174    0.0006948655091016174
                       37       349.84219967118577      0.20004108004174181       0.9999350871606154      0.26929886896307886     0.003000305389456873    0.0004881000238618936    0.0004881000238618936
                       38        349.8421996625418       0.2000410800419943       0.9999350871687357       0.2692988690187083    0.0030003053894523683    0.0004880999381389963    0.0004880999381389963
                       39        349.8421997315373      0.20004108003516083       0.9999350871611579      0.26929886902821387    0.0030003053894529677   0.00048809995002007116   0.00048809995002007116
                       40        350.0102553765882      0.20001771799373205       0.9999964310877902       0.2699543398694956    0.0030002575585510315      3.2808411769414e-05      3.2808411769414e-05
                       41       350.01025537677657      0.20001771799116966       0.9999964310879124       0.2699543398728999    0.0030002575585437894   3.2808406780759144e-05   3.2808406780759144e-05
                       42        350.0102553760994      0.20001771799390683       0.9999964310878637      0.26995433986970935    0.0030002575585470785    3.280841140562089e-05    3.280841140562089e-05
                       43        349.9915125447327      0.19999952280670957       1.0000007533473463      0.26999733282697036    0.0030000184810559686    2.499841951417547e-07    2.499841951417547e-07
                       44        349.9915125449441      0.19999952280673722       1.0000007533472899       0.2699973328239045    0.0030000184810559253    2.499841568824451e-07    2.499841568824451e-07
                       45       349.99151254493125        0.199999522806717        1.000000753347294       0.2699973328271852      0.00300001848105551    2.499841845662745e-07    2.499841845662745e-07
                       46        349.9992148209315      0.19999984411348437       0.9999987253502002      0.27000022915911337     0.003000001406889458   2.0524369757992808e-08   2.0524369757992808e-08
                       47        349.9992150443294       0.1999998445768264       0.9999987348568484      0.27000022916380473    0.0030000245811148385   1.4167965919435961e-07   1.4167965919435961e-07
