                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta
                       40        556.7142842748731         0.23950863879369       0.9757486505805666       0.1531122846657008      0.00285928805629127            1.0036051349970876            1694.7994056977222           -1086.4105063035367            -594.1338290682552            -13461.88776881263
                       41        344.2796270857207      0.20819958370596464        1.058190456127864       0.2166856765274676    0.0023772166169545913          -0.22496880092148785           -1864.8315247560276            1007.0909615365053            -323.4187876159922           -467451.95801065624
                       42       450.49696202653195       0.2238541121851485        1.016969550891364      0.18489897869740402     0.002618252351024246              0.53080485429291            118.96940321776128             4.251916337238981           -429.64045317006594           -165014.76611666277
                       43        405.7952752445815      0.22325121550499855       0.9609026640728899       0.1852123645557351    0.0033992899111746373           0.40770787279598153            1924.8691819342412           -1102.9210868045425           -179.85031489331504            134847.59135099011
                       44        428.1461186355566      0.22355266384507355       0.9889361074821252      0.18505567162656955    0.0030087711310994424             0.505344853962697            1179.6591577954985            -516.9753506706343            -283.5230305784364            27348.479215234536
                       45        426.9869328889172      0.22338983163687554         1.17461721913973       0.1850613046133346    0.0030052453247765756            0.3639373744590557           -116.94569843712088              3514.60003960824           -186.54447984545186             88794.11489823497
                       46        427.5665257622368       0.2234712477409745       1.0817766633109294      0.18505848811995207     0.003007008227938009            0.4354344795842735             675.0501472367887            1653.4225974922379           -201.52466660761092             58308.33329589069
                       47        427.8563221988968      0.22351195579302402       1.0353563853965255      0.18505707987326078     0.003007889679518724           0.47087531740430677               965.87744068799              609.848358251952            -233.3198455879426             42879.86311874192
                       48        428.0012204172267       0.2235323098190488       1.0121462464393254      0.18505637574991518     0.003008330405309083           0.48826932896872677            1082.7367198444904             57.23925715983569            -256.0091841807832             35125.94211905551
                       49        380.8833564618735      0.21724496036906604      0.14727224050658094      0.18527035265344405    0.0028178219670442206            -0.431288754043635           -14871.618194774783            -45348.13992177078            -7542.605756498233            -459855.7429335415
                       50        404.4422884395501      0.22038863509405737       0.5797092434729549      0.18516336420167961    0.0029130761861766528            0.4950870788889006           -1776.2572151696077           -15330.375693565657            -1960.233892987162           -180845.39520214093
                       51        416.2217544283883       0.2219604724565531       0.7959277449561384       0.1851098699757974    0.0029607032957428663            0.5600894610324758             857.8194259598604            -6269.049518095926             -758.626139770513            -66838.17025299277
                       52        422.1114874228076      0.22274639113780098       0.9040369956977337      0.18508312286285628    0.0029845168505259756            0.5345593621086664            1233.5990879392966            -2820.066825350409           -437.47127280369114           -14308.671357923686
                       53       425.05635392001705      0.22313935047842492       0.9580916210685295      0.18506974930638576    0.0029964236279175303            0.5133226537168412            1219.1456319783356            -1316.142786336627            -331.1897302538114             10798.83522150027
                       54        426.5287871686219       0.2233358301487368       0.9851189337539275      0.18506306252815044     0.003002377016613305            0.5011834822710171            1165.5918686059863            -613.8541529132624             -289.932118082703            23060.136959269785
                       55        427.2650037929243       0.2234340699838928       0.9986325900966264      0.18505971913903282     0.003005353710961195            0.4948269847204756             1127.753918684249            -274.4947956543342            -272.0801746676216             29117.48722088703
