                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                 backgr_grad_h             backgr_grad_alpha           backgr_grad_sca_sto                backgr_grad_wg        backgr_grad_gammatheta            backgr_grad_gammaq               backgr_grad_CO2            backgr_grad_advCO2               backgr_grad_z0m               backgr_grad_z0h             backgr_grad_FracH  backgr_grad_obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                       15        936.1951409457527       0.4701645842131157       2.0147444942042387       0.1582845313303056     -0.01827700701229741    4.257259867541663e-06       297.15050379494505    0.0019681580068384302      0.16546364761840557      0.02571956069282181       0.5672487692732376       1.0253899329117033        0.00026136138706868336            -1.155873064255777            1.5402092924445632          -0.01736390873465283            -5576.686207558794           -2455.5946561556198          0.010384744661019614           -1325.0738425624413           0.16684517263605977             274.0910865112182          -0.07042971251908224            -4.582751027992114            6.2791931883092715             26947.34465251607             2566.035660693041            1088.2253170294857             373628.6328651509            65285217.535163626            349.42036158276466             3508997.309251669            -11027.14862083639           -17806.154251815788            2417.1462942624426             -92007.2711919612
                       16        936.3215729504219      0.47060250394081765        1.915006215545482      0.15828962737408753    -0.016402342828724093    4.257704942047653e-06        297.1136277059792    0.0018203419078954058      0.16539390227900436     0.025141984565034605       0.5672922161210133        1.025221998446754         0.0002676829873021461           -1.1169468662378248            1.4515530447478904         -0.016910927065147716            -5160.094166764723           -2356.6892103802024          0.010355243789846919           -1516.6435067926009           0.15289610475581747             262.5395639554741          -0.06825737013029796            -4.586482904990986            43.725681056251524             119805.0144317242             4141.096868596904             5972.218084113865            3165485.2010803507             543189846.1685634             286.4880338887495            3050936.3853411674            -68899.37374426732            -114511.6224788295            2365.4735514744834             -78046.9444997855
                       17        936.3847889527565       0.4708214638046686       1.8651370762161026      0.15829217539597848     -0.01546501073693744   4.2579274793006465e-06       297.09518966149625     0.001746433858423894      0.16535902960930374     0.024853196501141005       0.5673139395449012       1.0251380312142793         0.0002708437874188746            -1.097483767228851            1.4072249208995533         -0.016684436230396393            -4951.798146367689           -2307.2364874926825          0.010340493354260571           -1612.4283389076802           0.14592157081569354             256.7638026776021          -0.06717119893590583            -4.588348843490427            206.57193954758256            520790.88110420795             12852.07075275385            27105.015596706144            16013040.231217166             2740587071.294009            184.67721933951827              2513578.88264562           -317584.15205008676            -529415.3405154244            2342.9287160483404           -60480.864992344796
                       18        936.4163969539238       0.4709309437365941       1.8402025065514138      0.15829344940692397    -0.014996344691044109    4.258038747927144e-06        297.0859706392548    0.0017094798336881377      0.16534159327445344       0.0247088024691942        0.567324801256845        1.025096047598042        0.00027242418747724174           -1.0877522177243617            1.3850608589753854           -0.0165711908130195            -4847.650136169171            -2282.510126048734           0.01033311813646742           -1660.3207549652204           0.14243430384563435            253.87592203866598          -0.06662811333871253            -4.589281812740145            10.007830491772806             38248.17503343776            2076.3024048507905            1742.0254691442078             718555.8797558153            124437048.27727959            297.62427403924994            3055841.2806518865            -16445.64350986035           -32075.690180767528             2320.485864523234            -79930.51795750091
                       19        936.4322009545075       0.4709856837025569       1.8277352217190703       0.1582940864123967    -0.014762011668097447    4.258094382240392e-06       297.08136112813406    0.0016910028213202597       0.1653328751070283       0.0246366054532208        0.567330232112817       1.0250750557899233         0.0002732143875064253           -1.0828864429721148            1.3739788280133023         -0.016514568104332283            -4795.576131069913            -2270.146945326948          0.010329430527570821           -1684.2669629939903           0.14069067036060476              252.431981719198          -0.06635657054011589            -4.589748297365004             6.078782599689118            28961.306063483913            1811.6000675903624            1256.1546681179343            421869.21494601393             73626044.71735549             301.5893349838043            3075535.1651447713           -10593.406348481001           -22630.477893302595            2312.4544009232727            -80933.60794243198
                       20        936.4401029547993      0.47101305368553825       1.8215015793028968      0.15829440491513308    -0.014644845156624117    4.258122199397017e-06        297.0790563725737    0.0016817643151363208      0.16532851602331572       0.0246005069452341        0.567332947540803        1.025064559885864        0.00027360948752101424           -1.0804535555959935            1.3684378125322592         -0.016486256749987445            -4769.539128520284           -2263.9653549659606          0.010327586723122523           -1696.2400670083753           0.13981885361808996              251.710011559464          -0.06622079914081479            -4.589981539677431            5.0585408062570565             26615.91077464415            1729.6547007153613            1134.1403691908422            346240.25887572014             60665949.40436257             302.5025182067006            3078712.5341083314            -9096.939197779722            -20279.03749582145             2308.401743497653            -81196.22861305323
                       21        936.4440539549452      0.47102673867702893       1.8183847580948118      0.15829456416650128    -0.014586261900887451   4.2581361079753285e-06       297.07790399479353    0.0016771450620443513      0.16532633648145942     0.024582457691240747        0.567334305254796       1.0250593119338345         0.0002738070375283087           -1.0792371119079331            1.3656673047917391          -0.01647210107281379             -4756.52062724547           -2260.8745597855614          0.010326664820898395           -1702.2266190155676            0.1393829452468298            251.34902647959694          -0.06615291344116424            -4.590098160833644             4.664496793619803             25724.63989132396            1694.8089777336827             1087.944764200736             317318.8036198833             55708323.14075582            302.80364181990217            3079298.1392882187            -8523.676742153468             -19393.6374515855             2306.365737129266            -81291.44705945313
                       22        936.4460294550181       0.4710335811727743       1.8168263474907675      0.15829464379218536    -0.014556970273019117    4.258143062264485e-06       297.07732780590345    0.0016748354354983665      0.16532524671053128     0.024573433064244074       0.5673349841117925       1.0250566879578196         0.0002739058125319559           -1.0786288900639027            1.3642820509214777          -0.01646502323422943            -4750.011376608062           -2259.3291621952676          0.010326203869786332            -1705.219895019164           0.13916499106120248            251.16853393966346          -0.06611897059133896           -4.5901564714117535           -2916.1978100431757            -7168128.514084517           -163101.30637184018            -379619.3438808155            -238683899.7689733            -40809312256.67756             525.3151898596415            130839.89039800558            4408351.1183518255             7446030.675124554             2467.086516963736             38020.57312437668
                       23        936.4470172050546      0.47103700242064694       1.8160471421887472       0.1582946836050274     -0.01454232445908495    4.258146539409063e-06        297.0770397114584    0.0016736806222253742       0.1653247018250672     0.024568920750745737       0.5673353235402907       1.0250553759698122         0.0002739552000337824           -1.0783247791418877            1.3635894239863484         -0.016461484314936017            -4746.756751289358           -2258.5564634001207          0.010325973394230277           -1706.7165330209618           0.13905601396838604            251.07828766969675           -0.0661019991664291            -4.590185626700806             500.1712766094851            1242302.5427253328            29381.429838037704            65503.154467505155            40787347.428982936             6975248149.020284            -38.65017511073724            1250894.3290475372             -754364.727930729           -1282261.7930031791            2356.4173245212833           -17441.439617760625
                       24        936.4465233300364       0.4710352917967106       1.8164367448397574       0.1582946636986064    -0.014549647366052035   4.2581448008367735e-06        297.0771837586809    0.0016742580288618702      0.16532497426779924     0.024571176907494906       0.5673351538260416       1.0250560319638158        0.00027393050628286917           -1.0784768346028952             1.363935737453913          -0.01646325377458149             -4748.38406394871            -2258.942812797788          0.010326088632008306            -1705.968214020063           0.13911050251479426             251.1234108046801          -0.06611048487888403            -4.590171049056282             63.95311600908861            168624.24049163525             4766.691524646723              8678.44348301802             5117825.578228738             875928943.3234377            -10.75127310457316             769502.7128582029            -95288.49059036734             -167945.186105504            2389.9808222727097            1826.7575194795143
