                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                     data                    Costf
                       45        641.1972785946361      0.15331208423442527       0.9701569065791249       0.1523181534990637    0.0037276166637206917  -2.6749140925496137e-06       416.74448307987853  -0.00035185370181215186      0.10724875206779584    0.0010350335920397778        341.4343989986491        341.4343989986491
                       46        638.4941967815006       0.1818878137221645       0.9963199035262114       0.1590480480920646    0.0033927814487241083  -2.6914945726070073e-06         413.157776386939   0.00011288833938952799      0.10894980488246225    0.0013157667668519495       238.78446031653465       238.78446031653465
                       47        638.4941967718958      0.18188781376790486       0.9963199036234898      0.15904804811195394    0.0033927814491593795  -2.6914945697108314e-06        413.1577763763511   0.00011288834072968688      0.10894980488877803    0.0013157667723819322       238.78446005132253       238.78446005132253
                       48        638.4941967700871      0.18188781378727054       0.9963199036638628      0.15904804812461526    0.0033927814464334532  -2.6914945715476147e-06         413.157776391932   0.00011288833798124391      0.10894980488990363     0.001315766769400534       238.78446009706482       238.78446009706482
                       49        638.4941967723473      0.18188781374454482       0.9963199036407218      0.15904804811869888    0.0033927814482103977  -2.6914945714881564e-06        413.1577764059348   0.00011288833812518606       0.1089498048882329    0.0013157667675968796         238.784460145485         238.784460145485
                       50        638.4941967782654      0.18188781367477752        0.996319903550873       0.1590480480962238     0.003392781449461769  -2.6914945723991907e-06       413.15777638896805   0.00011288833887721818      0.10894980488402443     0.001315766766288513       238.78446026068542       238.78446026068542
                       51         638.494196765571      0.18188781365792622        0.996319903648591      0.15904804811912845    0.0033927814487128135  -2.6914945738268855e-06       413.15777638415625   0.00011288833996725249      0.10894980489094777    0.0013157667646657347        238.7844601909422        238.7844601909422
                       52        633.2340893300724      0.17086113099711586       1.0438303919157979      0.16937656122339664      0.00340941265234732   -2.504341990531841e-06        413.5291760479268    8.728024209190156e-05      0.11194607964155873    0.0014731575084611596       200.62355936864765       200.62355936864765
                       53         633.234089318549      0.17086113103598138       1.0438303919922403      0.16937656124832545      0.00340941265211278  -2.5043419889439676e-06       413.52917604886545    8.728024180951373e-05      0.11194607964758907    0.0014731575069544343        200.6235593365229        200.6235593365229
                       54         633.234089324255      0.17086113099900974       1.0438303919214758      0.16937656123255593     0.003409412651903851   -2.504341989980535e-06       413.52917604841235    8.728024215095762e-05      0.11194607964412447    0.0014731575082444215       200.62355935679412       200.62355935679412
