                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h
                       11        650.0074793442428      0.44954570410447026       0.5004691221985272      0.13999372551666114     0.002863805716683322   -4.014016608058969e-06       380.21301076103686    0.0028643520140081043      0.09999532553017812     0.010131422146529984            -2.901323990613173            13849.188371075012            -15847.55595603591             -48.7127412712037           -142064.62903249325           -58854995.332024306           -212.69260145758273            -526265.5445499152             945.4704775926153            -5666.689536294674
                       12        650.0074793442906      0.44954570410118583       0.5004691222021795      0.13999372551664618    0.0028638057198863056   -4.014016592376417e-06        380.2130107631859     0.002864352018259374      0.09999532553014495     0.010131422147380059            -2.901323958347567            13849.188414497416           -15847.555954916304            -48.71273624670005           -142064.62348717154           -58854993.605671406            -212.6926006129225            -526265.5367185624             945.4704643516484            -5666.689612868008
                       13        650.0074793443282        0.449545704099277       0.5004691222040635       0.1399937255166227    0.0028638057129837854   -4.014016603335121e-06       380.21301076461225    0.0028643520152425187      0.09999532553012254      0.01013142214797946            -2.901323987808218            13849.188365294902           -15847.555957000306            -48.71274203063696           -142064.62980912853           -58854995.504507594           -212.69260132334864            -526265.5434025591             945.4704789733597            -5666.689523155042
                       14        650.0074793443698      0.44954570409491523       0.5004691222092011      0.13999372551661973    0.0028638057125458154   -4.014016592069159e-06        380.2130107675213    0.0028643520127866894      0.09999532553000792     0.010131422148862075             -2.90132398924133            13849.188368515954           -15847.555955458374            -48.71274174394856           -142064.62908007117            -58854994.96905553           -212.69260155962402            -526265.5458057318             945.4704779311317            -5666.689530738716
                       15        650.0074793445509      0.44954570407891764       0.5004691222278309      0.13999372551660855     0.002863805717567411   -4.014016609948217e-06       380.21301077874244     0.002864352012080807      0.09999532552962641     0.010131422152264176           -2.9013239893748266            13849.188370818869            -15847.55595535008           -48.712741301576955           -142064.62897417386            -58854995.35472536           -212.69260136845054             -526265.544555725             945.4704767301303           -5666.6895322916325
                       16        650.0074793441314       0.4495457041004856       0.5004691222032145      0.13999372551668812    0.0028638057166930227   -4.014016608125868e-06       380.21301076098706    0.0028643520140103256      0.09999532553029646     0.010131422146249658            -2.901323990719488              13849.1883706921           -15847.555955893311            -48.71274130295948           -142064.62905176927            -58854995.33839774           -212.69260145996117             -526265.544567054             945.4704776379334            -5666.689536176044
                       17         645.163272435709      0.19402166862176684       0.7991613189925746       0.1412042346046397     0.003287394945280564  -5.6435306406798376e-06       417.29037593422555   -0.0006602790619777092      0.10468109252343102     0.009138955048403605           -1.8201101350209727            -5447.935795744668            -6926.956117780263           -2353.1627285332884           -1054887.5906343153            -413566608.4500776            -48.43391059491693            -612405.4285205187            1348.0030496395552            15916.183365252658
                       18         645.163272394452      0.19402166646980046       0.7991613215159161       0.1412042346153735    0.0032873950151313027   -5.643530530619663e-06       417.29037617245456   -0.0006602790816316395      0.10468109256318477     0.009138955035834978           -1.8201097787469092            -5447.935376401814              -6926.9559798791           -2353.1626416528584           -1054887.4325434347            -413566557.5610509             -48.4339059848259            -612405.3988879449            1348.0029050338348            15916.182125054684
                       19        645.1632724330549      0.19402166848835245        0.799161319154133      0.14120423460559203    0.0032873949415422074   -5.643530631483242e-06       417.29037593688975   -0.0006602790571233431      0.10468109252590342     0.009138955046990619           -1.8201101164375737            -5447.935802354335            -6926.956113884531            -2353.162729715865           -1054887.5912874523             -413566608.526199            -48.43390997759402            -612405.4226115718            1348.0030487145937            15916.183378756477
                       20        645.1632724344432      0.19402166856617498       0.7991613190666194      0.14120423460541723    0.0032873949403774663   -5.643530624441913e-06        417.2903759164098   -0.0006602790605516537      0.10468109252441633     0.009138955046526643           -1.8201101293030735           -5447.9357996052295            -6926.956115629073           -2353.1627290772835           -1054887.5911365992            -413566607.9559735            -48.43391084393762             -612405.429878037            1348.0030502304228             15916.18337726921
