                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                       21        617.7250974324569      0.33698206173569256        1.254472064421476      0.13707881262449928     0.001880261915248526  -2.1637487085580454e-06        358.6781841039971    0.0005121323632403347       0.1100120317537724      0.07236213704818169       0.5651142908608925       1.1981921885132167            0.7159380011817855             3496.023155841353            1216.8264693855251             484.5871641184975           -1028468.2455203746            -319611284.5483007            46.450139377452025             300992.8285436826            27.357863992093897            -950.8597232550972            1753.3796438919521           -12451.324929267863
                       22        535.6574758598761      0.22367771396282615       1.0322849457952614       0.1348800562161244    0.0025806944654930895  -1.3193566827980325e-06       359.28149039041404   0.00019850974415553443      0.11239498709946388      0.10754377429148872       0.5334098588355786        1.193538800157763            0.6883175724915334           -2057.9956465808114           -1840.7579043292692            -291.4163651939418           -501979.81977768673            -97272860.56271935            1.0891413280889102             -60404.5312086016             472.9212195874952             963.3735732737625           -249.68829328005333           -1157.2250250508723
                       23        535.6574741563875      0.22367771248924959       1.0322849561175236      0.13488005618773244     0.002580694487532573  -1.3193566677868058e-06       359.28149049936263   0.00019850969681147607      0.11239498706791617      0.10754377464055198       0.5334098583716053       1.1935387991704645            0.6883175854033781           -2057.9956922138326           -1840.7576624753167           -291.41634957698983           -501979.79459646967            -97272855.72858465            1.0891420643386776           -60404.542034363025              472.921191414443             963.3735368788381           -249.68826993963347           -1157.2251454524032
                       24        535.6574755074932       0.2236777141928194       1.0322849462778976       0.1348800562142674    0.0025806944669566445  -1.3193566800964874e-06        359.2814903712558   0.00019850975477698953      0.11239498708034766      0.10754377429538038       0.5334098587951598       1.1935388003399046            0.6883175695060486           -2057.9956243000884            -1840.757891051846            -291.4163619416154            -501979.8164217401            -97272859.86005102            1.0891413538528134            -60404.52720397606             472.9212188001299              963.373566010862           -249.68828997739365           -1157.2250221169618
                       25        535.6574752919046      0.22367771405507103       1.0322849454050953      0.13488005621329915    0.0025806944683274837  -1.3193566806597739e-06        359.2814903903777    0.0001985097418762665      0.11239498708146341      0.10754377432730884       0.5334098587860628       1.1935388001447498            0.6883175616644411           -2057.9956311376045           -1840.7579113444513            -291.4163634414323            -501979.8172233122            -97272859.94784382             1.089140910489801            -60404.53473725254               472.92121873558             963.3735695603057           -249.68829316076676           -1157.2249146767213
                       26       475.64959162657124       0.2317337490668745       1.1065051362430207      0.13444613216905643     0.002951678060002284   -9.603363998702448e-07        358.9131202854731    0.0003696872021839463      0.11019305690173753      0.11187133005674839       0.5255817349301486       1.1966710103318088          -0.21145445784037267            -767.9171390810553              7.51898565989696            12.725996757606874           -149846.49474094156           -23007640.636688534             -16.8209105770052           -106376.85509150311            283.07251578584777            326.06878764913426            105.19799649226243              4719.82151986059
                       27        475.6495913997262      0.23173374920322787         1.10650513644066      0.13444613216678855    0.0029516780633106476   -9.603363977889821e-07       358.91312029368913    0.0003696872041641071      0.11019305687787381      0.11187133008000068        0.525581734885222        1.196671010266485          -0.21145443684997461            -767.9171135070148             7.518990138308997            12.725999973450824           -149846.49121512234              -23007639.919532            -16.82090977458683           -106376.84871222482            283.07250982860154             326.0687804511368             105.1979980288778              4719.82129727133
                       28       475.64959115196234      0.23173374913041875       1.1065051361256337      0.13444613216696577     0.002951678063093175   -9.603363981790736e-07        358.9131202894327    0.0003696871997066562      0.11019305687779969      0.11187133006527715        0.525581734890058       1.1966710102897347          -0.21145446541833407            -767.9171269522551             7.518984632874588            12.725998719609406           -149846.49313627285           -23007640.296614815            -16.82091077360828           -106376.85717013544             283.0725143377286            326.06878431661545            105.19799774141256             4719.821571174042
                       29       475.64959150239883        0.231733748970539        1.106505136146266      0.13444613216762227    0.0029516780605396524   -9.603363997202854e-07        358.9131202870704    0.0003696872021034447       0.1101930568936364      0.11187133005673995       0.5255817349130298       1.1966710103196054          -0.21145445789248354            -767.9171448784472             7.518984465304129            12.725996271859858           -149846.49467818122            -23007640.60618182           -16.820910561967512            -106376.8549584616              283.072516162998            326.06878898824306            105.19799566645352             4719.821515319117
                       30        441.5142871513451      0.23006937260696758       1.0996215478934168       0.1341897869635911     0.003201790091534677   -8.277505740583682e-07       359.41478055483947    0.0003231593373779658       0.1079860202849353      0.11282445642425862       0.5214644235114849       1.1923215706256907           0.04041030097598271           -166.12045149952826           -11.177179738536285            128.67680378602566           -12340.530717668336             7047568.528954683            -2.176099291298906            -7141.665672920702            110.14595700780815            136.14494274527422            133.81225799833305             509.6573011530421
